LATITUDE,LONGITUDE
175,39.4962449,-0.3980535
176,38.823125,-0.5465456
177,39.4840108,-0.7532808999999999
178,39.4226818,-0.3396999
179,39.4627538,-0.421793
180,39.3831245,-0.4115056
181,39.6691281,-0.3402351
182,38.0864201,-0.9455256000000001
183,38.0615148,-0.9843099
184,38.0920031,-0.9393735999999999
185,38.0843553,-0.9507547
186,38.0863542,-0.9457114000000001
187,38.1169112,-0.9110764000000001
188,39.4709155,-0.3770319
189,39.4947951,-0.3748848
190,39.4186205,-0.4018617
191,39.4840108,-0.7532808999999999
192,39.8116347,-0.1432086
193,39.6691281,-0.3402351
194,39.4733082,-0.4097216
195,39.9945711,-0.0689003
196,39.489342,-0.4523448
197,39.4676019,-0.374604
198,39.4703092,-0.3810444
199,39.4840108,-0.7532808999999999
200,40.22124890000001,0.1951282
201,39.47345869999999,-0.3757428
202,38.6429386,0.0465465
203,39.4733339,-0.3779157
204,38.994349,-1.8585424
205,39.460877,-0.3527044
206,40.113509,-0.0539224
207,39.9469417,-0.0912293
208,38.2609527,-0.7065579
209,,
210,39.93806,-0.09679
211,39.484421,-0.3954323
212,39.935237,-0.1043728
213,39.6816464,-0.2176987
214,39.9370911,-0.0993664
215,39.93806,-0.09679
216,39.469995,-0.3906088
217,38.3489719,-0.4780289
218,38.2673505,-0.7091069999999999
219,39.4781733,-0.3815844
220,40.4712732,0.4734606
221,39.4840108,-0.7532808999999999
222,39.9860791,-0.03794869999999999
223,40.053977,-0.3508164
224,39.96759,-0.25291
225,39.9993153,-0.3723087
226,39.9008769,-0.3410842
227,40.6913202,-0.1761308
228,38.86823210000001,-0.5161463
229,40.4137099,0.4255862
230,40.0528702,0.07669089999999999
231,39.4840108,-0.7532808999999999
232,40.1147476,-0.0536833
233,39.9872013,0.0224865
234,39.4756553,-0.3811141
235,39.472634,-0.3779563
236,39.1639021,-0.2566657
237,39.4627337,-0.4212263
238,39.8623201,-0.4592534
239,39.4195418,-0.3901673
240,39.4840108,-0.7532808999999999
241,39.8203666,-0.2300692
242,39.9793081,-0.063392
243,39.988569,-0.0308667
244,39.99635019999999,-0.0662532
245,39.8203666,-0.2300692
246,39.9828027,-0.0228672
247,39.9945711,-0.0689003
248,39.9834489,-0.0370239
249,39.4840108,-0.7532808999999999
250,39.9826363,-0.0300268
251,39.9824066,-0.0296172
252,39.4740082,-0.4125683
253,39.8203666,-0.2300692
254,39.98767,-0.25501
255,40.002039,-0.040621
256,39.98767,-0.25501
257,39.9767686,-0.0424636
258,39.9863563,-0.0513246
259,39.9783665,-0.0125514
260,39.9868342,-0.0382269
261,39.6688362,-0.3406423
262,39.9731552,0.0117891
263,39.9817796,-0.0245841
264,39.99319,-0.0327799
265,39.4185108,-0.4007346000000001
266,39.46290190000001,-0.3841607
267,39.4840108,-0.7532808999999999
268,39.9933817,-0.0599337
269,39.6554856,-0.8925575
270,39.988569,-0.0308667
271,38.2508326,-0.8121845999999999
272,40.0183604,-0.0924005
273,39.4659856,-0.3811072
274,38.3448163,-0.4855755
275,39.4840108,-0.7532808999999999
276,39.6691624,-0.3392284
277,38.9151099,-0.1947163
278,37.9145432,-0.7362325
279,39.1255055,-0.2922002
280,40.0371724,0.0403303
281,39.8818176,-0.3070386
