Instituto,Localidad,Presentados,Aptos,Media Expediente,Media PAU
IES DE RAFELBUNYOL,RAFELBUNYOL,17,17,7.5,6.5
IES D'ALBAL,ALBAL,67,59,8.1,6.2
IES COMARCAL,BURJASSOT,18,18,7.6,6.3
IES MÚSIC MARTÍN I SOLER,MISLATA,24,23,7.2,5.7
IES EL SALER,VALÈNCIA,13,13,7.7,6.1
"IES PATRAIX, VICENTA FERRER ESCRIVÁ",VALÈNCIA,38,38,7.5,6.2
IES CLARA CAMPOAMOR,ALAQUÀS,32,31,7.8,6.2
IES MESTRE RAMÓN ESTEVE,CATADAU,28,28,7.6,5.9
"CENTRE PRIVAT FLORIDA, CENTRE D'ENS. SEC.",CATARROJA,47,46,7.4,6
IES DE CÀRCER,CÀRCER,22,21,6.9,5.7
IES BENICALAP,VALÈNCIA,57,56,7.8,6.6
IES D'EL PUIG DE SANTA MARIA,EL PUIG DE STA. MARIA,19,19,8.1,6.3
IES LES RODANES,VILAMARXANT,30,29,7.4,5.9
IES MOLÍ DEL SOL,MISLATA,27,26,7.5,5.8
IES GUILLEM D'ALCALÀ,LA POBLA DE FARNALS,16,15,7.9,6
IES D'ALCÀSSER,ALCÀSSER,23,22,7.6,6.2
CENTRE PRIVAT RIVAS LUNA,L'ELIANA,18,18,7.2,6.2
IES LA CANYADA,PATERNA,23,23,7.9,6.6
IES RASCANYA-ANTONIO CAÑUELO,VALÈNCIA,18,18,7.6,6.3
CENTRE ESPECÍFIC D'EDUCACIÓ A DISTÀNCIA CEED,VALÈNCIA,20,16,6.2,5
IES MARÍA CARBONELL I SÁNCHEZ,BENETÚSSER,25,24,7.5,6.4
IES DE SAN ANTONIO DE BENAGÉBER,SAN ANTO. DE BENAGÉBER,35,35,7.7,6.8
CENTRE PRIVAT COMP. PREUNIV. MAS CAMARENA,PATERNA,74,74,8.1,7.2
CENTRE PRIVAT CUMBRES SCHOOL,MONCADA,34,33,8.1,7.1
IES ÁLVARO FALOMIR,ALMASSORA,17,17,7.1,6.1
IES DE BETXÍ,BETXÍ,26,26,7.6,6.3
CENTRE PRIVAT LA SALLE,BENICARLÓ,31,29,7.5,6.1
IES RAMÓN CID ,BENICARLÓ,36,36,7.6,7.1
CENTRE PRIVAT SALESIANOS SAN JUAN BAUTISTA,BORRIANA,62,61,7.6,6.4
IES JAUME I,BORRIANA,33,32,7.3,6.4
CENTRE PRIVAT NTRA. SRA. DE LA CONSOLACIÓN ,CASTELLÓ DE LA PLANA,55,55,7.8,7.1
CENTRE PRIVAT MADRE VEDRUNA SAGRADO CORAZÓN,CASTELLÓ DE LA PLANA,76,73,7.6,6.5
CENTRE PRIVAT IZQUIERDO-SOROLLA,CASTELLÓ DE LA PLANA,9,8,6.5,5
IES FRANCESC RIBALTA,CASTELLÓ DE LA PLANA,174,163,7.3,6
IES PENYAGOLOSA,CASTELLÓ DE LA PLANA,56,56,7.6,6.9
IES POLITÈCNIC,CASTELLÓ DE LA PLANA,39,38,7.3,6.2
CENTRE PRIVAT LA MAGDALENA ,CASTELLÓ DE LA PLANA,12,12,7.9,6.5
IES ELS PORTS,MORELLA,18,18,6.9,6.1
IES HONORI GARCIA,LA VALL D'UIXÓ,38,38,7.6,6
IES BOTÀNIC CAVANILLES,LA VALL D'UIXÓ,26,21,7.1,5.6
IES FRANCESC TÀRREGA,VILA-REAL,69,65,7.5,5.9
IES LEOPOLDO QUEROL,VINARÒS,63,62,7.1,6.5
IES LLOMBAI,BORRIANA,59,54,7.6,6.1
IES JOAN COROMINES,BENICARLÓ,17,16,7.5,6.3
IES MIRALCAMP,VILA-REAL,40,39,7.6,5.7
IES JOSÉ VILAPLANA,VINARÒS,24,23,7.5,7
IES VICENT SOS BAYNAT,CASTELLÓ DE LA PLANA,52,51,7.2,6.4
IES ALTO PALANCIA,SEGORBE,112,112,7.8,6.7
CENTRE PRIVAT SANTA MARÍA,VILA-REAL,36,36,7.4,6.4
IES MIQUEL PERIS I SEGARRA,CASTELLÓ DE LA PLANA,24,23,7.2,5.8
IES XIMÉN D'URREA,L'ALCORA,23,23,7.7,6.5
IES VICENT CASTELL I DOMÉNECH,CASTELLÓ DE LA PLANA,32,30,7.2,6.3
IES EL CAMINÀS,CASTELLÓ DE LA PLANA,51,49,7.3,6.2
IES SERRA D'IRTA,ALCALÀ DE XIVERT,18,18,7.3,5.9
IES MAESTRAT,SANT MATEU,25,25,7.3,6
CENTRE PRIVAT INTERNATIONAL SCHOOL PENISCOLA,PEÑÍSCOLA,3,3,6.2,6.1
CENTRE PRIVAT DIOCESANO MATER DEI,CASTELLÓ DE LA PLANA,14,14,7.3,6.2
IES MATILDE SALVADOR,CASTELLÓ DE LA PLANA,40,40,7.6,6.7
IES VIOLANT DE CASALDUCH,BENICÀSSIM,64,59,7.3,5.8
CENTRE PRIVAT TORRENOVA,BETXÍ,18,18,8.2,6.9
IES JUAN BAUTISTA PORCAR,CASTELLÓ DE LA PLANA,61,59,7.5,6.4
CENTRE PRIVAT MIRALVENT,BETXÍ,17,17,8.4,6.7
IES ALFRED AYZA,PENÍSCOLA,10,10,7.6,5.9
IES EL PRAT,TORREBLANCA,9,9,7.6,6.9
IES ALFONSO XIII,VALL D'ALBA,54,54,7.7,6.4
IES D'ALMENARA,ALMENARA,16,16,7.7,6.9
IES SERRA D'ESPADÀ,ONDA,68,67,7.6,6.3
IES GILABERT DE CENTELLES,NULES,50,49,7.5,6.6
CENTRE PRIVAT SAN CRISTÓBAL II ,CASTELLÓ DE LA PLANA,34,34,7.3,6
IES VILA-ROJA ,ALMASSORA,38,38,7.5,6.3
IES L'ALCALATÉN,L'ALCORA,10,10,7.6,7.2
IES PROFESSOR BROCH I LLOP,VILA-REAL,59,58,7.1,6.7
IES LA PLANA,CASTELLÓ DE LA PLANA,48,48,7.5,6.9
IES BENIGASLÓ,LA VALL D'UIXÓ,69,69,8.3,6.8
IES DE VILAFRANCA,VILAFRANCA,14,13,7.4,5.6
IES BOVALAR,CASTELLÓ DE LA PLANA,31,30,7.4,6.5
